Index,Champion,Other Champions,Synergy,Counter,Synergy Total,Counter Total
174,Akali,Cho Gath,0,0,0,0
175,Akali,Corki,0,-1,2,1
176,Akali,Darius,1,3,5,3
177,Akali,Dr. Mundo,0,0,0,0
178,Akali,Diana,0,-6,2,8
179,Akali,Draven,-4,-4,4,6
180,Akali,Ekko,0,4,2,18
181,Akali,Elise,-1,0,1,0
182,Akali,Evelynn,-3,-1,5,1
183,Akali,Ezreal,-4,0,8,16
184,Akali,Fiddlesticks,3,-1,3,3
185,Akali,Fiora,-1,-1,7,3
186,Akali,Fizz,-1,1,1,1
187,Akali,Galio,0,-3,0,3
188,Akali,Gangplank,0,0,0,2
189,Akali,Garen,-1,1,1,1
190,Akali,Gnar,-2,3,2,5
191,Akali,Gragas,0,-1,2,3
192,Akali,Graves,2,5,10,13
193,Akali,Gwen,0,0,0,6
194,Akali,Hecarim,-1,2,1,2
195,Akali,Heimerdinger,-2,-4,2,6
196,Akali,Irelia,3,-8,11,20
197,Akali,Ivern,2,-1,4,1
198,Akali,Illaoi,-1,-2,1,6
199,Akali,Janna,0,-1,4,1
200,Akali,Jarvan IV,0,0,0,0
201,Akali,Jax,-1,1,1,3
202,Akali,Jayce,-1,-2,3,8
203,Akali,Jhin,-4,4,8,6
204,Akali,Jinx,3,-1,5,3
205,Akali,Karma,3,1,5,7
206,Akali,Kalista,1,2,3,2
207,Akali,Karthus,-1,4,11,10
208,Akali,Kassadin,0,2,0,6
209,Akali,Kai Sa,0,0,0,0
210,Akali,Katarina,-1,0,1,6
211,Akali,Kayn,-3,2,3,6
212,Akali,Kayle,-2,0,2,2
213,Akali,Kennen,0,-1,0,5
214,Akali,Kha Zix,0,0,0,0
215,Akali,Kog Maw,0,0,0,0
216,Akali,Kled,2,-3,2,5
217,Akali,Kindred,3,-2,7,6
218,Akali,LeBlanc,0,0,0,0
219,Akali,Lee Sin,0,0,0,0
220,Akali,Leona,-2,2,6,6
221,Akali,Lucian,3,6,23,8
222,Akali,Lissandra,0,1,0,3
223,Akali,Lulu,-4,-2,6,14
224,Akali,Lux,0,0,2,8
